Level 4
94
5,5,20,20,-16711936
30,5,20,20,-16711936
55,5,20,20,-16711936
80,5,20,20,-16711936
105,5,20,20,-16711936
5,30,20,20,-16711936
30,30,20,20,-16711936
55,30,20,20,-16711936
80,30,20,20,-16711936
105,30,20,20,-16711936
5,55,20,20,-16711936
30,55,20,20,-16711936
55,55,20,20,-16711936
80,55,20,20,-16711936
105,55,20,20,-16711936
5,80,20,20,-16711936
30,80,20,20,-16711936
55,80,20,20,-16711936
80,80,20,20,-16711936
105,80,20,20,-16711936
5,105,20,20,-16711936
30,105,20,20,-16711936
55,105,20,20,-16711936
80,105,20,20,-16711936
105,105,20,20,-16711936
130,5,50,50,-3355648
130,60,50,50,-3355648
130,115,50,50,-3355648
185,115,50,50,-3355648
240,115,50,50,-3355648
295,115,50,50,-3355648
350,115,50,50,-3355648
350,60,50,50,-3355648
350,5,50,50,-3355648
185,5,50,50,-3355648
240,5,50,50,-3355648
295,5,50,50,-3355648
185,60,50,50,-3355648
240,60,50,50,-3355648
295,60,50,50,-3355648
405,5,75,75,-65536
485,5,75,75,-65536
565,5,75,75,-65536
405,85,75,75,-65536
405,165,75,75,-65536
485,85,75,75,-65536
565,85,75,75,-65536
565,165,75,75,-65536
485,165,75,75,-65536
5,130,120,120,-10092442
5,255,120,120,-10092442
130,170,80,80,-10066432
215,170,80,80,-10066432
300,170,80,80,-10066432
130,255,80,80,-10066432
215,255,80,80,-10066432
300,255,80,80,-10066432
385,170,15,15,-16751104
385,190,15,15,-16751104
385,210,15,15,-16751104
385,230,15,15,-16751104
385,250,15,15,-16751104
385,270,15,15,-16751104
385,290,15,15,-16751104
385,310,15,15,-16751104
385,330,15,5,-16751104
130,340,35,35,-16737895
170,340,35,35,-16737895
210,340,35,35,-16737895
250,340,35,35,-16737895
290,340,35,35,-16737895
330,340,35,35,-16737895
370,340,35,35,-16737895
410,340,35,35,-16737895
450,340,35,35,-16737895
490,340,35,35,-16737895
530,340,35,35,-16737895
570,340,35,35,-16737895
610,340,35,35,-16737895
650,340,35,35,-16737895
690,340,35,35,-16737895
730,340,35,35,-16737895
770,340,35,35,-16737895
810,340,35,35,-16737895
850,340,35,35,-16737895
890,340,5,35,-16737895
405,245,235,90,-39322
645,215,120,120,-16777012
770,215,125,120,-16777012
770,90,125,120,-16777012
645,90,120,120,-16777012
645,5,80,80,-16724941
730,5,80,80,-16724941
815,5,80,80,-16724941
0
