Level 2
40
105,130,50,150,-12574208
410,275,50,150,-12574208
410,125,50,150,-12574208
690,275,50,150,-12574208
690,125,50,150,-12574208
5,280,100,50,-16758016
155,280,100,50,-16758016
460,270,100,50,-16758016
310,270,100,50,-16758016
590,270,100,50,-16758016
740,270,100,50,-16758016
155,230,90,50,-16758016
15,230,90,50,-16758016
320,220,90,50,-16758016
460,220,90,50,-16758016
600,220,90,50,-16758016
740,220,90,50,-16758016
25,180,80,50,-16758016
155,180,80,50,-16758016
330,170,80,50,-16758016
460,170,80,50,-16758016
610,170,80,50,-16758016
740,170,80,50,-16758016
155,130,70,50,-16758016
35,130,70,50,-16758016
340,125,70,45,-16758016
460,125,70,45,-16758016
620,125,70,45,-16758016
740,125,70,45,-16758016
350,75,170,50,-16758016
45,80,170,50,-16758016
630,75,170,50,-16758016
85,30,100,50,-16758016
385,25,100,50,-16758016
665,25,100,50,-16758016
110,0,50,30,-16758016
410,0,50,25,-16758016
695,0,50,25,-16758016
105,280,50,145,-12181504
0,425,900,20,-12151552
0
